ISIN,tk_data,date,close,open,high,low,volume
CA135087L518,"1,57601476,1330,184",2026-01-12 12:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-12 14:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-12 16:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-12 18:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-12 20:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-12 22:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 07:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 08:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 10:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 12:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 14:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 16:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 18:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 20:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-13 22:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-14 07:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-14 08:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-14 10:44,99.74,99.74,99.74,99.74,0
CA135087L518,"1,57601476,1330,184",2026-01-14 12:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-14 14:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-14 16:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-14 18:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-14 20:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-14 22:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-15 07:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-15 08:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-15 10:44,99.75,99.75,99.75,99.75,0
CA135087L518,"1,57601476,1330,184",2026-01-15 12:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-15 14:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-15 16:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-15 18:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-15 20:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-15 22:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-16 07:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-16 08:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-16 10:44,99.76,99.76,99.76,99.76,0
CA135087L518,"1,57601476,1330,184",2026-01-16 12:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-16 14:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-16 16:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-16 18:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-16 20:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-16 22:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-19 07:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-19 08:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-19 10:44,99.77,99.77,99.77,99.77,0
CA135087L518,"1,57601476,1330,184",2026-01-19 12:44,99.78,99.78,99.78,99.78,0
CA135087L518,"1,57601476,1330,184",2026-01-19 14:44,99.78,99.78,99.78,99.78,0
CA135087L518,"1,57601476,1330,184",2026-01-19 16:44,99.78,99.78,99.78,99.78,0
CA135087L518,"1,57601476,1330,184",2026-01-19 18:44,99.78,99.78,99.78,99.78,0
CA135087L518,"1,57601476,1330,184",2026-01-19 20:44,99.78,99.78,99.78,99.78,0
CA135087L518,"1,57601476,1330,184",2026-01-19 22:44,99.78,99.78,99.78,99.78,0
CA135087P816,"1,124578091,1330,184",2026-01-05 06:44,100.15,0.0,0.0,0.0,0
CA135087P816,"1,124578091,1330,184",2026-01-05 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-05 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-05 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-05 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-05 14:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-05 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-05 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-05 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-05 22:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 14:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-06 22:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 14:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 16:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 18:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 20:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-07 22:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-08 07:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-08 08:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-08 10:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-08 12:44,100.15,100.15,100.15,100.15,0
CA135087P816,"1,124578091,1330,184",2026-01-08 14:44,100.15,100.15,100.15,100.15,0
